abnormal pos: x = 0, y = 0, cpnt = 0, average =  85.00
abnormal pos: x = 151, y = 0, cpnt = 0, average =  40.20
abnormal pos: x = 151, y = 0, cpnt = 1, average =  34.00
abnormal pos: x = 152, y = 0, cpnt = 0, average =  39.10
abnormal pos: x = 152, y = 0, cpnt = 1, average =  32.70
abnormal pos: x = 153, y = 0, cpnt = 0, average =  34.60
abnormal pos: x = 154, y = 0, cpnt = 0, average =  34.10
abnormal pos: x = 155, y = 0, cpnt = 0, average =  34.60
abnormal pos: x = 155, y = 0, cpnt = 2, average =  32.50
abnormal pos: x = 156, y = 0, cpnt = 2, average =  30.60
abnormal pos: x = 159, y = 0, cpnt = 2, average =  30.50
abnormal pos: x = 170, y = 0, cpnt = 1, average =  30.50
abnormal pos: x = 174, y = 0, cpnt = 1, average =  35.80
abnormal pos: x = 175, y = 0, cpnt = 1, average =  35.70
abnormal pos: x = 176, y = 0, cpnt = 1, average =  34.20
abnormal pos: x = 177, y = 0, cpnt = 0, average =  32.20
abnormal pos: x = 177, y = 0, cpnt = 1, average =  33.50
abnormal pos: x = 178, y = 0, cpnt = 0, average =  37.10
abnormal pos: x = 178, y = 0, cpnt = 1, average =  34.40
abnormal pos: x = 179, y = 0, cpnt = 0, average =  33.30
abnormal pos: x = 179, y = 0, cpnt = 1, average =  32.50
abnormal pos: x = 180, y = 0, cpnt = 0, average =  32.40
abnormal pos: x = 180, y = 0, cpnt = 1, average =  32.30
abnormal pos: x = 181, y = 0, cpnt = 0, average =  31.90
abnormal pos: x = 181, y = 0, cpnt = 1, average =  32.70
abnormal pos: x = 182, y = 0, cpnt = 0, average =  31.30
abnormal pos: x = 182, y = 0, cpnt = 1, average =  30.90
abnormal pos: x = 215, y = 0, cpnt = 2, average =  30.60
abnormal pos: x = 217, y = 0, cpnt = 2, average =  31.10
abnormal pos: x = 218, y = 0, cpnt = 2, average =  31.60
abnormal pos: x = 219, y = 0, cpnt = 2, average =  30.10
abnormal pos: x = 283, y = 0, cpnt = 1, average =  30.90
abnormal pos: x = 284, y = 0, cpnt = 1, average =  30.90
abnormal pos: x = 299, y = 0, cpnt = 1, average =  30.10
abnormal pos: x = 332, y = 0, cpnt = 0, average =  30.10
abnormal pos: x = 346, y = 0, cpnt = 0, average =  31.50
abnormal pos: x = 346, y = 0, cpnt = 1, average =  30.10
abnormal pos: x = 363, y = 0, cpnt = 1, average =  31.00
abnormal pos: x = 365, y = 0, cpnt = 1, average =  30.50
abnormal pos: x = 367, y = 0, cpnt = 1, average =  30.10
abnormal pos: x = 410, y = 0, cpnt = 0, average =  31.00
abnormal pos: x = 411, y = 0, cpnt = 0, average =  31.10
abnormal pos: x = 412, y = 0, cpnt = 0, average =  34.70
abnormal pos: x = 412, y = 0, cpnt = 1, average =  30.50
abnormal pos: x = 413, y = 0, cpnt = 0, average =  33.80
abnormal pos: x = 413, y = 0, cpnt = 1, average =  30.20
abnormal pos: x = 414, y = 0, cpnt = 0, average =  30.50
abnormal pos: x = 438, y = 0, cpnt = 0, average =  33.80
abnormal pos: x = 438, y = 0, cpnt = 2, average =  30.20
abnormal pos: x = 439, y = 0, cpnt = 0, average =  35.30
abnormal pos: x = 440, y = 0, cpnt = 0, average =  31.00
abnormal pos: x = 441, y = 0, cpnt = 0, average =  31.10
abnormal pos: x = 0, y = 1, cpnt = 2, average =  35.00
abnormal pos: x = 1, y = 1, cpnt = 2, average =  49.00
abnormal pos: x = 2, y = 1, cpnt = 2, average =  44.00
abnormal pos: x = 3, y = 1, cpnt = 2, average =  36.50
abnormal pos: x = 4, y = 1, cpnt = 1, average =  31.20
abnormal pos: x = 4, y = 1, cpnt = 2, average =  33.60
abnormal pos: x = 5, y = 1, cpnt = 1, average =  30.67
abnormal pos: x = 5, y = 1, cpnt = 2, average =  30.17
abnormal pos: x = 6, y = 1, cpnt = 1, average =  32.14
abnormal pos: x = 6, y = 1, cpnt = 2, average =  30.14
abnormal pos: x = 10, y = 1, cpnt = 1, average =  30.20
abnormal pos: x = 21, y = 1, cpnt = 1, average =  31.50
abnormal pos: x = 52, y = 1, cpnt = 2, average =  30.70
abnormal pos: x = 53, y = 1, cpnt = 2, average =  32.70
abnormal pos: x = 54, y = 1, cpnt = 2, average =  34.20
abnormal pos: x = 55, y = 1, cpnt = 2, average =  37.50
abnormal pos: x = 56, y = 1, cpnt = 2, average =  36.00
abnormal pos: x = 89, y = 1, cpnt = 2, average =  30.70
abnormal pos: x = 90, y = 1, cpnt = 2, average =  33.10
abnormal pos: x = 91, y = 1, cpnt = 2, average =  34.90
abnormal pos: x = 92, y = 1, cpnt = 2, average =  35.20
abnormal pos: x = 93, y = 1, cpnt = 2, average =  31.20
abnormal pos: x = 95, y = 1, cpnt = 1, average =  32.30
abnormal pos: x = 95, y = 1, cpnt = 2, average =  30.40
abnormal pos: x = 96, y = 1, cpnt = 1, average =  30.90
abnormal pos: x = 96, y = 1, cpnt = 2, average =  32.20
abnormal pos: x = 137, y = 1, cpnt = 0, average =  31.20
abnormal pos: x = 137, y = 1, cpnt = 1, average =  31.20
abnormal pos: x = 137, y = 1, cpnt = 2, average =  31.40
abnormal pos: x = 138, y = 1, cpnt = 0, average =  31.20
abnormal pos: x = 138, y = 1, cpnt = 1, average =  33.80
abnormal pos: x = 138, y = 1, cpnt = 2, average =  34.20
abnormal pos: x = 139, y = 1, cpnt = 0, average =  31.00
abnormal pos: x = 139, y = 1, cpnt = 1, average =  30.30
abnormal pos: x = 139, y = 1, cpnt = 2, average =  30.70
abnormal pos: x = 140, y = 1, cpnt = 0, average =  30.60
abnormal pos: x = 140, y = 1, cpnt = 1, average =  32.10
abnormal pos: x = 141, y = 1, cpnt = 0, average =  31.00
abnormal pos: x = 144, y = 1, cpnt = 2, average =  30.20
abnormal pos: x = 145, y = 1, cpnt = 2, average =  31.50
abnormal pos: x = 157, y = 1, cpnt = 1, average =  30.80
abnormal pos: x = 158, y = 1, cpnt = 1, average =  33.00
abnormal pos: x = 219, y = 1, cpnt = 0, average =  34.10
abnormal pos: x = 220, y = 1, cpnt = 0, average =  36.00
abnormal pos: x = 220, y = 1, cpnt = 1, average =  30.20
abnormal pos: x = 221, y = 1, cpnt = 0, average =  31.80
abnormal pos: x = 259, y = 1, cpnt = 2, average =  30.40
abnormal pos: x = 294, y = 1, cpnt = 2, average =  31.10
abnormal pos: x = 295, y = 1, cpnt = 0, average =  30.70
abnormal pos: x = 295, y = 1, cpnt = 2, average =  30.60
abnormal pos: x = 296, y = 1, cpnt = 0, average =  32.10
abnormal pos: x = 296, y = 1, cpnt = 2, average =  31.80
abnormal pos: x = 297, y = 1, cpnt = 0, average =  34.80
abnormal pos: x = 297, y = 1, cpnt = 2, average =  33.40
abnormal pos: x = 298, y = 1, cpnt = 0, average =  36.60
abnormal pos: x = 298, y = 1, cpnt = 1, average =  30.10
abnormal pos: x = 298, y = 1, cpnt = 2, average =  32.70
abnormal pos: x = 299, y = 1, cpnt = 0, average =  34.40
abnormal pos: x = 299, y = 1, cpnt = 2, average =  31.20
abnormal pos: x = 315, y = 1, cpnt = 0, average =  35.50
abnormal pos: x = 316, y = 1, cpnt = 0, average =  37.50
abnormal pos: x = 317, y = 1, cpnt = 0, average =  32.60
abnormal pos: x = 318, y = 1, cpnt = 0, average =  32.00
abnormal pos: x = 319, y = 1, cpnt = 0, average =  31.50
abnormal pos: x = 346, y = 1, cpnt = 2, average =  31.40
abnormal pos: x = 347, y = 1, cpnt = 2, average =  31.20
abnormal pos: x = 425, y = 1, cpnt = 1, average =  31.50
abnormal pos: x = 426, y = 1, cpnt = 1, average =  30.60
abnormal pos: x = 427, y = 1, cpnt = 1, average =  33.00
abnormal pos: x = 427, y = 1, cpnt = 2, average =  30.10
abnormal pos: x = 428, y = 1, cpnt = 0, average =  31.60
abnormal pos: x = 428, y = 1, cpnt = 1, average =  30.90
abnormal pos: x = 428, y = 1, cpnt = 2, average =  31.50
abnormal pos: x = 441, y = 1, cpnt = 0, average =  30.90
abnormal pos: x = 441, y = 1, cpnt = 1, average =  31.90
abnormal pos: x = 474, y = 1, cpnt = 0, average =  32.10
abnormal pos: x = 474, y = 1, cpnt = 1, average =  31.50
abnormal pos: x = 475, y = 1, cpnt = 0, average =  32.40
abnormal pos: x = 475, y = 1, cpnt = 1, average =  31.50
abnormal pos: x = 476, y = 1, cpnt = 0, average =  30.50
abnormal pos: x = 477, y = 1, cpnt = 1, average =  32.10
abnormal pos: x = 479, y = 1, cpnt = 1, average =  32.90
abnormal pos: x = 479, y = 1, cpnt = 2, average =  32.20
abnormal pos: x = 480, y = 1, cpnt = 0, average =  31.30
abnormal pos: x = 480, y = 1, cpnt = 1, average =  33.40
abnormal pos: x = 480, y = 1, cpnt = 2, average =  33.30
abnormal pos: x = 481, y = 1, cpnt = 0, average =  31.10
abnormal pos: x = 509, y = 1, cpnt = 2, average =  30.10
abnormal pos: x = 548, y = 1, cpnt = 2, average =  30.80
abnormal pos: x = 549, y = 1, cpnt = 2, average =  32.30
abnormal pos: x = 550, y = 1, cpnt = 1, average =  30.60
abnormal pos: x = 550, y = 1, cpnt = 2, average =  33.50
abnormal pos: x = 551, y = 1, cpnt = 0, average =  30.50
abnormal pos: x = 551, y = 1, cpnt = 1, average =  32.60
abnormal pos: x = 551, y = 1, cpnt = 2, average =  34.40
abnormal pos: x = 552, y = 1, cpnt = 0, average =  31.60
abnormal pos: x = 552, y = 1, cpnt = 1, average =  32.90
abnormal pos: x = 552, y = 1, cpnt = 2, average =  32.50
abnormal pos: x = 553, y = 1, cpnt = 0, average =  31.20
abnormal pos: x = 553, y = 1, cpnt = 1, average =  32.90
abnormal pos: x = 553, y = 1, cpnt = 2, average =  31.30
abnormal pos: x = 554, y = 1, cpnt = 0, average =  30.40
abnormal pos: x = 0, y = 2, cpnt = 0, average =  38.00
abnormal pos: x = 0, y = 2, cpnt = 1, average =  65.00
abnormal pos: x = 1, y = 2, cpnt = 1, average =  39.00
abnormal pos: x = 2, y = 2, cpnt = 1, average =  39.33
abnormal pos: x = 3, y = 2, cpnt = 1, average =  38.75
abnormal pos: x = 4, y = 2, cpnt = 1, average =  37.80
abnormal pos: x = 5, y = 2, cpnt = 1, average =  36.50
abnormal pos: x = 6, y = 2, cpnt = 1, average =  34.43
abnormal pos: x = 7, y = 2, cpnt = 1, average =  33.50
abnormal pos: x = 8, y = 2, cpnt = 1, average =  31.11
abnormal pos: x = 36, y = 2, cpnt = 2, average =  31.70
abnormal pos: x = 37, y = 2, cpnt = 2, average =  31.10
abnormal pos: x = 38, y = 2, cpnt = 0, average =  31.60
abnormal pos: x = 38, y = 2, cpnt = 1, average =  31.30
abnormal pos: x = 38, y = 2, cpnt = 2, average =  32.70
abnormal pos: x = 39, y = 2, cpnt = 0, average =  30.80
abnormal pos: x = 39, y = 2, cpnt = 1, average =  33.30
abnormal pos: x = 39, y = 2, cpnt = 2, average =  30.10
abnormal pos: x = 40, y = 2, cpnt = 0, average =  31.80
abnormal pos: x = 40, y = 2, cpnt = 1, average =  34.30
abnormal pos: x = 41, y = 2, cpnt = 2, average =  30.20
abnormal pos: x = 43, y = 2, cpnt = 1, average =  30.90
abnormal pos: x = 72, y = 2, cpnt = 0, average =  30.60
abnormal pos: x = 83, y = 2, cpnt = 2, average =  30.80
abnormal pos: x = 84, y = 2, cpnt = 2, average =  30.60
abnormal pos: x = 85, y = 2, cpnt = 1, average =  30.50
abnormal pos: x = 110, y = 2, cpnt = 0, average =  30.40
abnormal pos: x = 110, y = 2, cpnt = 1, average =  30.60
abnormal pos: x = 110, y = 2, cpnt = 2, average =  31.70
abnormal pos: x = 114, y = 2, cpnt = 1, average =  31.70
abnormal pos: x = 114, y = 2, cpnt = 2, average =  35.10
abnormal pos: x = 115, y = 2, cpnt = 2, average =  30.80
abnormal pos: x = 116, y = 2, cpnt = 2, average =  30.70
abnormal pos: x = 117, y = 2, cpnt = 2, average =  32.60
abnormal pos: x = 132, y = 2, cpnt = 0, average =  31.70
abnormal pos: x = 132, y = 2, cpnt = 2, average =  30.80
abnormal pos: x = 133, y = 2, cpnt = 0, average =  32.90
abnormal pos: x = 133, y = 2, cpnt = 2, average =  30.50
abnormal pos: x = 143, y = 2, cpnt = 2, average =  31.40
abnormal pos: x = 144, y = 2, cpnt = 0, average =  31.00
abnormal pos: x = 144, y = 2, cpnt = 1, average =  31.10
abnormal pos: x = 144, y = 2, cpnt = 2, average =  33.00
abnormal pos: x = 145, y = 2, cpnt = 0, average =  32.00
abnormal pos: x = 145, y = 2, cpnt = 1, average =  32.10
abnormal pos: x = 145, y = 2, cpnt = 2, average =  34.70
abnormal pos: x = 146, y = 2, cpnt = 0, average =  30.40
abnormal pos: x = 146, y = 2, cpnt = 1, average =  33.40
abnormal pos: x = 146, y = 2, cpnt = 2, average =  35.20
abnormal pos: x = 147, y = 2, cpnt = 0, average =  33.10
abnormal pos: x = 147, y = 2, cpnt = 1, average =  31.00
abnormal pos: x = 147, y = 2, cpnt = 2, average =  34.60
abnormal pos: x = 148, y = 2, cpnt = 2, average =  30.40
abnormal pos: x = 159, y = 2, cpnt = 0, average =  33.40
abnormal pos: x = 160, y = 2, cpnt = 0, average =  33.80
abnormal pos: x = 161, y = 2, cpnt = 0, average =  32.60
abnormal pos: x = 162, y = 2, cpnt = 0, average =  31.60
abnormal pos: x = 163, y = 2, cpnt = 0, average =  34.30
abnormal pos: x = 163, y = 2, cpnt = 2, average =  30.60
abnormal pos: x = 200, y = 2, cpnt = 1, average =  31.10
abnormal pos: x = 200, y = 2, cpnt = 2, average =  33.10
abnormal pos: x = 202, y = 2, cpnt = 1, average =  32.20
abnormal pos: x = 202, y = 2, cpnt = 2, average =  30.70
abnormal pos: x = 203, y = 2, cpnt = 0, average =  33.40
abnormal pos: x = 203, y = 2, cpnt = 1, average =  33.30
abnormal pos: x = 203, y = 2, cpnt = 2, average =  33.20
abnormal pos: x = 204, y = 2, cpnt = 0, average =  33.00
abnormal pos: x = 204, y = 2, cpnt = 2, average =  32.20
abnormal pos: x = 205, y = 2, cpnt = 0, average =  35.90
abnormal pos: x = 205, y = 2, cpnt = 2, average =  34.10
abnormal pos: x = 206, y = 2, cpnt = 0, average =  35.70
abnormal pos: x = 206, y = 2, cpnt = 1, average =  32.10
abnormal pos: x = 206, y = 2, cpnt = 2, average =  35.40
abnormal pos: x = 207, y = 2, cpnt = 0, average =  36.20
abnormal pos: x = 207, y = 2, cpnt = 2, average =  34.90
abnormal pos: x = 208, y = 2, cpnt = 0, average =  33.80
abnormal pos: x = 208, y = 2, cpnt = 2, average =  30.20
abnormal pos: x = 249, y = 2, cpnt = 0, average =  30.50
abnormal pos: x = 364, y = 2, cpnt = 2, average =  31.90
abnormal pos: x = 365, y = 2, cpnt = 2, average =  33.70
abnormal pos: x = 366, y = 2, cpnt = 2, average =  34.50
abnormal pos: x = 367, y = 2, cpnt = 2, average =  33.30
abnormal pos: x = 377, y = 2, cpnt = 1, average =  30.90
abnormal pos: x = 400, y = 2, cpnt = 0, average =  31.00
abnormal pos: x = 401, y = 2, cpnt = 0, average =  30.30
abnormal pos: x = 402, y = 2, cpnt = 0, average =  33.10
abnormal pos: x = 403, y = 2, cpnt = 0, average =  35.70
abnormal pos: x = 404, y = 2, cpnt = 0, average =  32.10
abnormal pos: x = 405, y = 2, cpnt = 0, average =  30.80
abnormal pos: x = 0, y = 3, cpnt = 1, average =  47.00
abnormal pos: x = 1, y = 3, cpnt = 1, average =  40.00
abnormal pos: x = 23, y = 3, cpnt = 2, average =  30.90
abnormal pos: x = 24, y = 3, cpnt = 2, average =  32.20
abnormal pos: x = 25, y = 3, cpnt = 2, average =  31.70
abnormal pos: x = 35, y = 3, cpnt = 2, average =  30.30
abnormal pos: x = 37, y = 3, cpnt = 2, average =  34.50
abnormal pos: x = 38, y = 3, cpnt = 2, average =  33.60
abnormal pos: x = 39, y = 3, cpnt = 2, average =  34.20
abnormal pos: x = 40, y = 3, cpnt = 2, average =  32.40
abnormal pos: x = 68, y = 3, cpnt = 2, average =  31.30
abnormal pos: x = 70, y = 3, cpnt = 2, average =  32.30
abnormal pos: x = 84, y = 3, cpnt = 0, average =  31.00
abnormal pos: x = 86, y = 3, cpnt = 0, average =  34.40
abnormal pos: x = 86, y = 3, cpnt = 2, average =  35.20
abnormal pos: x = 87, y = 3, cpnt = 0, average =  34.60
abnormal pos: x = 87, y = 3, cpnt = 2, average =  36.40
abnormal pos: x = 88, y = 3, cpnt = 2, average =  34.70
abnormal pos: x = 89, y = 3, cpnt = 2, average =  37.40
abnormal pos: x = 90, y = 3, cpnt = 0, average =  31.20
abnormal pos: x = 90, y = 3, cpnt = 2, average =  37.40
abnormal pos: x = 91, y = 3, cpnt = 2, average =  36.40
abnormal pos: x = 92, y = 3, cpnt = 2, average =  37.40
abnormal pos: x = 93, y = 3, cpnt = 2, average =  33.60
abnormal pos: x = 94, y = 3, cpnt = 2, average =  32.90
abnormal pos: x = 137, y = 3, cpnt = 0, average =  30.10
abnormal pos: x = 161, y = 3, cpnt = 2, average =  31.30
abnormal pos: x = 162, y = 3, cpnt = 2, average =  30.30
abnormal pos: x = 163, y = 3, cpnt = 2, average =  31.00
abnormal pos: x = 164, y = 3, cpnt = 0, average =  31.10
abnormal pos: x = 164, y = 3, cpnt = 1, average =  32.60
abnormal pos: x = 164, y = 3, cpnt = 2, average =  34.30
abnormal pos: x = 165, y = 3, cpnt = 1, average =  32.40
abnormal pos: x = 165, y = 3, cpnt = 2, average =  33.40
abnormal pos: x = 166, y = 3, cpnt = 2, average =  31.40
abnormal pos: x = 168, y = 3, cpnt = 1, average =  31.90
abnormal pos: x = 203, y = 3, cpnt = 1, average =  31.20
abnormal pos: x = 204, y = 3, cpnt = 1, average =  33.60
abnormal pos: x = 205, y = 3, cpnt = 1, average =  31.80
abnormal pos: x = 206, y = 3, cpnt = 1, average =  31.20
abnormal pos: x = 469, y = 3, cpnt = 0, average =  30.70
abnormal pos: x = 469, y = 3, cpnt = 1, average =  31.60
abnormal pos: x = 470, y = 3, cpnt = 0, average =  32.90
abnormal pos: x = 470, y = 3, cpnt = 1, average =  32.80
abnormal pos: x = 471, y = 3, cpnt = 0, average =  34.60
abnormal pos: x = 471, y = 3, cpnt = 1, average =  35.10
abnormal pos: x = 471, y = 3, cpnt = 2, average =  30.90
abnormal pos: x = 472, y = 3, cpnt = 0, average =  32.10
abnormal pos: x = 472, y = 3, cpnt = 1, average =  33.50
abnormal pos: x = 473, y = 3, cpnt = 0, average =  31.40
abnormal pos: x = 473, y = 3, cpnt = 1, average =  35.30
abnormal pos: x = 474, y = 3, cpnt = 1, average =  33.50
abnormal pos: x = 477, y = 3, cpnt = 1, average =  30.70
abnormal pos: x = 479, y = 3, cpnt = 1, average =  30.40
abnormal pos: x = 482, y = 3, cpnt = 0, average =  30.40
abnormal pos: x = 0, y = 4, cpnt = 1, average =  37.00
abnormal pos: x = 0, y = 4, cpnt = 2, average =  51.00
abnormal pos: x = 1, y = 4, cpnt = 0, average =  32.00
abnormal pos: x = 1, y = 4, cpnt = 1, average =  35.50
abnormal pos: x = 1, y = 4, cpnt = 2, average =  36.50
abnormal pos: x = 2, y = 4, cpnt = 0, average =  40.00
abnormal pos: x = 2, y = 4, cpnt = 1, average =  40.67
abnormal pos: x = 2, y = 4, cpnt = 2, average =  39.33
abnormal pos: x = 3, y = 4, cpnt = 0, average =  35.00
abnormal pos: x = 3, y = 4, cpnt = 1, average =  34.75
abnormal pos: x = 3, y = 4, cpnt = 2, average =  33.50
abnormal pos: x = 4, y = 4, cpnt = 0, average =  32.00
abnormal pos: x = 4, y = 4, cpnt = 1, average =  31.60
abnormal pos: x = 5, y = 4, cpnt = 0, average =  30.67
abnormal pos: x = 5, y = 4, cpnt = 1, average =  30.17
abnormal pos: x = 20, y = 4, cpnt = 2, average =  34.00
abnormal pos: x = 21, y = 4, cpnt = 2, average =  33.00
abnormal pos: x = 22, y = 4, cpnt = 2, average =  32.70
abnormal pos: x = 23, y = 4, cpnt = 2, average =  30.60
abnormal pos: x = 24, y = 4, cpnt = 2, average =  30.70
abnormal pos: x = 81, y = 4, cpnt = 2, average =  31.50
abnormal pos: x = 96, y = 4, cpnt = 0, average =  31.70
abnormal pos: x = 97, y = 4, cpnt = 0, average =  31.70
abnormal pos: x = 98, y = 4, cpnt = 0, average =  32.30
abnormal pos: x = 99, y = 4, cpnt = 0, average =  31.50
abnormal pos: x = 99, y = 4, cpnt = 2, average =  30.70
abnormal pos: x = 100, y = 4, cpnt = 0, average =  31.70
abnormal pos: x = 101, y = 4, cpnt = 0, average =  30.20
abnormal pos: x = 107, y = 4, cpnt = 0, average =  30.80
abnormal pos: x = 108, y = 4, cpnt = 0, average =  31.40
abnormal pos: x = 109, y = 4, cpnt = 0, average =  32.60
abnormal pos: x = 110, y = 4, cpnt = 0, average =  33.80
abnormal pos: x = 111, y = 4, cpnt = 0, average =  33.70
abnormal pos: x = 112, y = 4, cpnt = 0, average =  35.20
abnormal pos: x = 113, y = 4, cpnt = 0, average =  37.30
abnormal pos: x = 114, y = 4, cpnt = 0, average =  34.40
abnormal pos: x = 132, y = 4, cpnt = 2, average =  31.10
abnormal pos: x = 133, y = 4, cpnt = 2, average =  31.00
abnormal pos: x = 150, y = 4, cpnt = 0, average =  30.30
abnormal pos: x = 150, y = 4, cpnt = 1, average =  31.20
abnormal pos: x = 150, y = 4, cpnt = 2, average =  30.40
abnormal pos: x = 151, y = 4, cpnt = 0, average =  30.20
abnormal pos: x = 152, y = 4, cpnt = 0, average =  30.90
abnormal pos: x = 152, y = 4, cpnt = 2, average =  30.80
abnormal pos: x = 153, y = 4, cpnt = 1, average =  32.50
abnormal pos: x = 153, y = 4, cpnt = 2, average =  32.30
abnormal pos: x = 154, y = 4, cpnt = 0, average =  35.90
abnormal pos: x = 154, y = 4, cpnt = 1, average =  36.90
abnormal pos: x = 154, y = 4, cpnt = 2, average =  37.60
abnormal pos: x = 155, y = 4, cpnt = 0, average =  37.60
abnormal pos: x = 155, y = 4, cpnt = 1, average =  37.60
abnormal pos: x = 155, y = 4, cpnt = 2, average =  38.50
abnormal pos: x = 156, y = 4, cpnt = 0, average =  36.20
abnormal pos: x = 156, y = 4, cpnt = 1, average =  34.60
abnormal pos: x = 156, y = 4, cpnt = 2, average =  34.60
abnormal pos: x = 157, y = 4, cpnt = 1, average =  30.90
abnormal pos: x = 157, y = 4, cpnt = 2, average =  32.30
abnormal pos: x = 158, y = 4, cpnt = 1, average =  32.30
abnormal pos: x = 158, y = 4, cpnt = 2, average =  31.00
abnormal pos: x = 160, y = 4, cpnt = 0, average =  30.70
abnormal pos: x = 160, y = 4, cpnt = 1, average =  30.70
abnormal pos: x = 161, y = 4, cpnt = 0, average =  31.40
abnormal pos: x = 161, y = 4, cpnt = 1, average =  32.10
abnormal pos: x = 162, y = 4, cpnt = 0, average =  31.60
abnormal pos: x = 162, y = 4, cpnt = 1, average =  32.70
abnormal pos: x = 265, y = 4, cpnt = 0, average =  33.90
abnormal pos: x = 265, y = 4, cpnt = 1, average =  33.10
abnormal pos: x = 266, y = 4, cpnt = 0, average =  35.50
abnormal pos: x = 266, y = 4, cpnt = 1, average =  34.20
abnormal pos: x = 393, y = 4, cpnt = 0, average =  30.30
abnormal pos: x = 393, y = 4, cpnt = 1, average =  30.70
abnormal pos: x = 394, y = 4, cpnt = 0, average =  30.20
abnormal pos: x = 408, y = 4, cpnt = 2, average =  31.60
abnormal pos: x = 410, y = 4, cpnt = 2, average =  33.30
abnormal pos: x = 411, y = 4, cpnt = 2, average =  33.10
